code,for gender,main accords,longevity,sillage,gender,top notes,middle notes,base notes,sentiment_data,season_data,longevity_pct,sillage_pct,gender_pct,main_accords_pct,top_notes_pct,middle_notes_pct,base_notes_pct,sentiment_pct,season_pct,day_night_pct,gender_score,longevity_score,sillage_score,day_night_score,season_score,scent_dna
r9,for men,"{'citrus': 100.0, 'aromatic': 66.0139, 'marine': 58.2221, 'fresh spicy': 50.7715, 'floral': 47.5741, 'woody': 45.5244, 'fresh': 44.6232}","{'very weak': '565', 'weak': '2146', 'moderate': '6508', 'long lasting': '1562', 'eternal': '318'}","{'intimate': '2247', 'moderate': '6792', 'strong': '1434', 'enormous': '380'}","{'female': '62', 'more female': '19', 'unisex': '860', 'more male': '2805', 'male': '4439'}","{'Lime': 4.275, 'Lemon': 3.925, 'Bergamot': 3.6, 'Jasmine': 3.25, 'Orange': 3.2, 'Mandarin Orange': 3.075, 'Neroli': 2.85}","{'Sea Notes': 5.0, 'Jasmine': 3.25, 'Calone': 2.975, 'Rosemary': 2.775, 'Peach': 2.725, 'Freesia': 2.7, 'Hiacynth': 2.675, 'Cyclamen': 2.65, 'Violet': 2.625, 'Coriander': 2.625, 'Rose': 2.6, 'Nutmeg': 2.6, 'Mignonette': 2.5}","{'White Musk': 3.075, 'Cedar': 2.925, 'Oakmoss': 2.75, 'Patchouli': 2.675, 'Amber': 2.6}","{'love': 90.0671, 'like': 100.0, 'ok': 15.2717, 'dislike': 20.4426, 'hate': 2.32851}","{'winter': 10.268, 'spring': 68.5346, 'summer': 100.0, 'fall': 19.2134, 'day': 94.1002, 'night': 20.9885}","{'very weak': 5.1, 'weak': 19.3, 'moderate': 58.6, 'long lasting': 14.1, 'eternal': 2.9}","{'intimate': 20.7, 'moderate': 62.6, 'strong': 13.2, 'enormous': 3.5}","{'female': 0.8, 'more female': 0.2, 'unisex': 10.5, 'more male': 34.3, 'male': 54.2}","{'citrus': 24.4, 'aromatic': 16.1, 'marine': 14.1, 'fresh spicy': 12.2, 'floral': 11.5, 'woody': 11.0, 'fresh': 10.7}","{'Lime': 0.0563, 'Lemon': 0.0517, 'Bergamot': 0.0474, 'Jasmine': 0.0428, 'Orange': 0.0422, 'Mandarin Orange': 0.0405, 'Neroli': 0.0375}","{'Sea Notes': 0.0659, 'Jasmine': 0.0428, 'Calone': 0.0392, 'Rosemary': 0.0366, 'Peach': 0.0359, 'Freesia': 0.0356, 'Hiacynth': 0.0352, 'Cyclamen': 0.0349, 'Violet': 0.0346, 'Coriander': 0.0346, 'Rose': 0.0343, 'Nutmeg': 0.0343, 'Mignonette': 0.0329}","{'White Musk': 0.0405, 'Cedar': 0.0385, 'Oakmoss': 0.0362, 'Patchouli': 0.0352, 'Amber': 0.0343}","{'love': 39.6, 'like': 44.1, 'ok': 6.6, 'dislike': 8.8, 'hate': 0.9}","{'winter': 5.2, 'spring': 34.6, 'summer': 50.5, 'fall': 9.7}","{'day': 81.8, 'night': 18.2}",85.2,47.6,33.2,18.2,54.9,"A for men perfume with citrus, aromatic, marine, fresh spicy, floral, woody, fresh accords. Features notes of Lime, Lemon, Bergamot, Jasmine, Orange, Mandarin Orange, Neroli. Good for {'winter': 10.268, 'spring': 68.5346, 'summer': 100.0, 'fall': 19.2134, 'day': 94.1002, 'night': 20.9885}."
r11,for men,"{'vanilla': 100.0, 'warm spicy': 67.6121, 'amber': 62.1414, 'aromatic': 55.4941, 'sweet': 53.5424, 'balsamic': 51.5538, 'lavender': 46.7411, 'fresh spicy': 45.6345}","{'very weak': '21', 'weak': '53', 'moderate': '609', 'long lasting': '2014', 'eternal': '644'}","{'intimate': '74', 'moderate': '942', 'strong': '1898', 'enormous': '366'}","{'female': '38', 'more female': '12', 'unisex': '259', 'more male': '1085', 'male': '1943'}","{'Lavender': 3.025, 'Cardamom': 2.925, 'Black Pepper': 2.625}","{'Incense': 3.05, 'Patchouli': 2.5}","{'Vanilla Pod': 5.0, 'Tonka Bean': 4.125}","{'love': 100.0, 'like': 28.5809, 'ok': 8.58086, 'dislike': 5.0495, 'hate': 2.40924}","{'winter': 100.0, 'spring': 52.6178, 'summer': 19.5353, 'fall': 87.5, 'day': 41.5249, 'night': 92.8665}","{'very weak': 0.6, 'weak': 1.6, 'moderate': 18.2, 'long lasting': 60.3, 'eternal': 19.3}","{'intimate': 2.3, 'moderate': 28.7, 'strong': 57.9, 'enormous': 11.2}","{'female': 1.1, 'more female': 0.4, 'unisex': 7.8, 'more male': 32.5, 'male': 58.2}","{'vanilla': 20.9, 'warm spicy': 14.0, 'amber': 12.9, 'aromatic': 11.5, 'sweet': 11.1, 'balsamic': 10.6, 'lavender': 9.6, 'fresh spicy': 9.4}","{'Lavender': 0.1301, 'Cardamom': 0.1258, 'Black Pepper': 0.1129}","{'Incense': 0.1312, 'Patchouli': 0.1075}","{'Vanilla Pod': 0.2151, 'Tonka Bean': 0.1774}","{'love': 69.9, 'like': 19.6, 'ok': 5.6, 'dislike': 3.5, 'hate': 1.4}","{'winter': 38.5, 'spring': 20.3, 'summer': 7.5, 'fall': 33.7}","{'day': 30.9, 'night': 69.1}",86.6,74.0,59.3,69.1,45.5,"A for men perfume with vanilla, warm spicy, amber, aromatic, sweet, balsamic, lavender, fresh spicy accords. Features notes of Lavender, Cardamom, Black Pepper. Good for {'winter': 100.0, 'spring': 52.6178, 'summer': 19.5353, 'fall': 87.5, 'day': 41.5249, 'night': 92.8665}."
r12,for men,"{'citrus': 100.0, 'fresh spicy': 80.6931, 'woody': 80.6824, 'aromatic': 69.8002, 'amber': 66.392, 'smoky': 52.8041, 'balsamic': 50.1748, 'warm spicy': 49.8712, 'green': 49.6387, 'fresh': 49.0067}","{'very weak': '309', 'weak': '743', 'moderate': '4583', 'long lasting': '3779', 'eternal': '640'}","{'intimate': '1117', 'moderate': '6193', 'strong': '2267', 'enormous': '587'}","{'female': '44', 'more female': '14', 'unisex': '351', 'more male': '1489', 'male': '4416'}","{'Grapefruit': 5.0, 'Lemon': 4.15, 'Mint': 3.4, 'Pink Pepper': 3.075}","{'Ginger': 4.1, 'Nutmeg': 2.9, 'Jasmine': 2.625, 'Iso E Super': 2.6}","{'Incense': 4.275, 'Vetiver': 3.2, 'Cedar': 3.175, 'Sandalwood': 2.975, 'Patchouli': 2.75, 'Labdanum': 2.625, 'White Musk': 2.5}","{'love': 100.0, 'like': 75.6597, 'ok': 11.9457, 'dislike': 22.3147, 'hate': 2.14606}","{'winter': 57.612, 'spring': 98.0372, 'summer': 89.5445, 'fall': 83.6185, 'day': 100.0, 'night': 87.4937}","{'very weak': 3.1, 'weak': 7.4, 'moderate': 45.6, 'long lasting': 37.6, 'eternal': 6.4}","{'intimate': 11.0, 'moderate': 60.9, 'strong': 22.3, 'enormous': 5.8}","{'female': 0.7, 'more female': 0.2, 'unisex': 5.6, 'more male': 23.6, 'male': 69.9}","{'citrus': 15.5, 'fresh spicy': 12.4, 'woody': 12.4, 'aromatic': 10.7, 'amber': 10.2, 'smoky': 8.1, 'balsamic': 7.8, 'warm spicy': 7.6, 'green': 7.6, 'fresh': 7.6}","{'Grapefruit': 0.1013, 'Lemon': 0.0841, 'Mint': 0.0689, 'Pink Pepper': 0.0623}","{'Ginger': 0.0831, 'Nutmeg': 0.0588, 'Jasmine': 0.0532, 'Iso E Super': 0.0527}","{'Incense': 0.0866, 'Vetiver': 0.0648, 'Cedar': 0.0643, 'Sandalwood': 0.0603, 'Patchouli': 0.0557, 'Labdanum': 0.0532, 'White Musk': 0.0507}","{'love': 47.6, 'like': 35.7, 'ok': 5.2, 'dislike': 10.5, 'hate': 1.0}","{'winter': 17.5, 'spring': 29.8, 'summer': 27.2, 'fall': 25.4}","{'day': 53.3, 'night': 46.7}",90.5,59.2,41.0,46.7,53.5,"A for men perfume with citrus, fresh spicy, woody, aromatic, amber, smoky, balsamic, warm spicy, green, fresh accords. Features notes of Grapefruit, Lemon, Mint, Pink Pepper. Good for {'winter': 57.612, 'spring': 98.0372, 'summer': 89.5445, 'fall': 83.6185, 'day': 100.0, 'night': 87.4937}."
r13,for men,"{'warm spicy': 100.0, 'fresh spicy': 82.1398, 'woody': 78.5632, 'aromatic': 78.1522, 'lavender': 76.0403, 'soft spicy': 68.6757, 'cinnamon': 61.5255, 'amber': 54.3728, 'powdery': 50.3668, 'balsamic': 48.4683}","{'very weak': '94', 'weak': '96', 'moderate': '942', 'long lasting': '3966', 'eternal': '7536'}","{'intimate': '212', 'moderate': '1716', 'strong': '6261', 'enormous': '3866'}","{'female': '96', 'more female': '23', 'unisex': '339', 'more male': '1313', 'male': '10325'}","{'Nutmeg': 3.95, 'Cinnamon': 3.8, 'Cardamom': 3.275, 'Grapefruit': 2.575}",{'Lavender': 5.0},"{'Licorice': 4.4, 'Sandalwood': 3.4, 'Amber': 3.2, 'Patchouli': 2.65, 'Haitian Vetiver': 2.5}","{'love': 100.0, 'like': 29.6234, 'ok': 11.4217, 'dislike': 9.0435, 'hate': 6.88432}","{'winter': 100.0, 'spring': 52.0437, 'summer': 21.9243, 'fall': 88.4561, 'day': 47.8248, 'night': 90.5807}","{'very weak': 0.7, 'weak': 0.8, 'moderate': 7.5, 'long lasting': 31.4, 'eternal': 59.6}","{'intimate': 1.8, 'moderate': 14.2, 'strong': 51.9, 'enormous': 32.1}","{'female': 0.8, 'more female': 0.2, 'unisex': 2.8, 'more male': 10.9, 'male': 85.4}","{'warm spicy': 14.4, 'fresh spicy': 11.8, 'woody': 11.2, 'aromatic': 11.2, 'lavender': 10.9, 'soft spicy': 9.8, 'cinnamon': 8.8, 'amber': 7.8, 'powdery': 7.2, 'balsamic': 6.9}","{'Nutmeg': 0.1137, 'Cinnamon': 0.1094, 'Cardamom': 0.0942, 'Grapefruit': 0.0741}",{'Lavender': 0.1439},"{'Licorice': 0.1266, 'Sandalwood': 0.0978, 'Amber': 0.0921, 'Patchouli': 0.0763, 'Haitian Vetiver': 0.0719}","{'love': 64.5, 'like': 18.7, 'ok': 7.1, 'dislike': 5.8, 'hate': 3.9}","{'winter': 38.1, 'spring': 19.8, 'summer': 8.4, 'fall': 33.7}","{'day': 34.6, 'night': 65.4}",94.9,87.1,71.4,65.4,45.9,"A for men perfume with warm spicy, fresh spicy, woody, aromatic, lavender, soft spicy, cinnamon, amber, powdery, balsamic accords. Features notes of Nutmeg, Cinnamon, Cardamom, Grapefruit. Good for {'winter': 100.0, 'spring': 52.0437, 'summer': 21.9243, 'fall': 88.4561, 'day': 47.8248, 'night': 90.5807}."
r16,for men,"{'vanilla': 100.0, 'sweet': 93.2848, 'amber': 72.1348, 'cinnamon': 69.1975, 'warm spicy': 66.6873, 'powdery': 59.0249, 'aromatic': 57.0595, 'soft spicy': 53.8075, 'caramel': 48.6711}","{'very weak': '119', 'weak': '215', 'moderate': '2741', 'long lasting': '7970', 'eternal': '1894'}","{'intimate': '393', 'moderate': '4083', 'strong': '6991', 'enormous': '1296'}","{'female': '104', 'more female': '81', 'unisex': '1767', 'more male': '5613', 'male': '5006'}","{'Pink Pepper': 3.1, 'Juniper': 2.6, 'Violet': 2.55}","{'Toffee': 4.725, 'Cinnamon': 4.325, 'Lavender': 2.8, 'Sage': 2.5}","{'Vanilla': 5.0, 'Amber': 3.725, 'Tonka Bean': 3.6, 'Suede': 2.825}","{'love': 100.0, 'like': 24.7319, 'ok': 5.61036, 'dislike': 4.16059, 'hate': 2.11032}","{'winter': 100.0, 'spring': 17.6399, 'summer': 8.65275, 'fall': 80.2805, 'day': 36.976, 'night': 81.1532}","{'very weak': 0.9, 'weak': 1.7, 'moderate': 21.2, 'long lasting': 61.6, 'eternal': 14.6}","{'intimate': 3.1, 'moderate': 32.0, 'strong': 54.8, 'enormous': 10.2}","{'female': 0.8, 'more female': 0.6, 'unisex': 14.1, 'more male': 44.7, 'male': 39.8}","{'vanilla': 16.2, 'sweet': 15.1, 'amber': 11.7, 'cinnamon': 11.2, 'warm spicy': 10.7, 'powdery': 9.6, 'aromatic': 9.2, 'soft spicy': 8.6, 'caramel': 7.8}","{'Pink Pepper': 0.0821, 'Juniper': 0.0689, 'Violet': 0.0675}","{'Toffee': 0.1252, 'Cinnamon': 0.1146, 'Lavender': 0.0742, 'Sage': 0.0662}","{'Vanilla': 0.1325, 'Amber': 0.0987, 'Tonka Bean': 0.0954, 'Suede': 0.0748}","{'love': 74.1, 'like': 17.8, 'ok': 3.7, 'dislike': 3.0, 'hate': 1.5}","{'winter': 48.4, 'spring': 8.5, 'summer': 4.2, 'fall': 38.9}","{'day': 31.3, 'night': 68.7}",80.5,71.8,57.4,68.7,44.5,"A for men perfume with vanilla, sweet, amber, cinnamon, warm spicy, powdery, aromatic, soft spicy, caramel accords. Features notes of Pink Pepper, Juniper, Violet. Good for {'winter': 100.0, 'spring': 17.6399, 'summer': 8.65275, 'fall': 80.2805, 'day': 36.976, 'night': 81.1532}."
r17,for men,"{'vanilla': 100.0, 'sweet': 80.7034, 'honey': 69.7461, 'aromatic': 59.6817, 'amber': 59.6723, 'lavender': 53.6028, 'tobacco': 50.1965, 'green': 47.8323, 'fresh spicy': 45.997, 'powdery': 45.7988}","{'very weak': '137', 'weak': '175', 'moderate': '2250', 'long lasting': '8969', 'eternal': '3357'}","{'intimate': '365', 'moderate': '3838', 'strong': '8446', 'enormous': '1770'}","{'female': '162', 'more female': '92', 'unisex': '1527', 'more male': '5953', 'male': '7075'}","{'Lavender': 3.075, 'Mint': 2.6}","{'Vanilla': 5.0, 'Benzoin': 2.5}","{'Honey': 4.475, 'Tonka Bean': 3.275, 'Tobacco': 2.8}","{'love': 100.0, 'like': 22.963, 'ok': 7.29286, 'dislike': 4.20771, 'hate': 3.68079}","{'winter': 100.0, 'spring': 29.7373, 'summer': 13.652, 'fall': 78.8831, 'day': 38.0347, 'night': 83.1036}","{'very weak': 0.9, 'weak': 1.2, 'moderate': 15.1, 'long lasting': 60.2, 'eternal': 22.5}","{'intimate': 2.5, 'moderate': 26.6, 'strong': 58.6, 'enormous': 12.3}","{'female': 1.1, 'more female': 0.6, 'unisex': 10.3, 'more male': 40.2, 'male': 47.8}","{'vanilla': 16.5, 'sweet': 13.2, 'honey': 11.4, 'aromatic': 9.7, 'amber': 9.7, 'lavender': 8.7, 'tobacco': 8.2, 'green': 7.7, 'fresh spicy': 7.4, 'powdery': 7.4}","{'Lavender': 0.1296, 'Mint': 0.1096}","{'Vanilla': 0.2107, 'Benzoin': 0.1054}","{'Honey': 0.1886, 'Tonka Bean': 0.138, 'Tobacco': 0.118}","{'love': 73.5, 'like': 16.2, 'ok': 5.1, 'dislike': 2.9, 'hate': 2.2}","{'winter': 45.0, 'spring': 13.4, 'summer': 6.1, 'fall': 35.5}","{'day': 31.4, 'night': 68.6}",83.2,75.6,60.2,68.6,44.0,"A for men perfume with vanilla, sweet, honey, aromatic, amber, lavender, tobacco, green, fresh spicy, powdery accords. Features notes of Lavender, Mint. Good for {'winter': 100.0, 'spring': 29.7373, 'summer': 13.652, 'fall': 78.8831, 'day': 38.0347, 'night': 83.1036}."
r19,for women,"{'vanilla': 100.0, 'rum': 86.5375, 'sweet': 86.2135, 'tropical': 65.7346, 'fruity': 60.63, 'white floral': 58.4564, 'powdery': 56.3729, 'musky': 52.6325, 'woody': 51.2019, 'fresh': 50.4198}","{'very weak': '67', 'weak': '155', 'moderate': '636', 'long lasting': '756', 'eternal': '266'}","{'intimate': '205', 'moderate': '914', 'strong': '617', 'enormous': '270'}","{'female': '623', 'more female': '114', 'unisex': '61', 'more male': '4', 'male': '4'}","{'Rum': 5.0, 'Passionfruit': 3.975}","{'Gardenia': 2.8, 'Musk': 2.5}","{'Vanille': 3.925, 'Tonka Bean': 2.8}","{'love': 59.6132, 'like': 100.0, 'ok': 8.85087, 'dislike': 35.8869, 'hate': 1.45035}","{'winter': 86.3066, 'spring': 36.443, 'summer': 26.5139, 'fall': 80.1418, 'day': 54.6099, 'night': 100.0}","{'very weak': 3.6, 'weak': 8.2, 'moderate': 33.8, 'long lasting': 40.2, 'eternal': 14.1}","{'intimate': 10.2, 'moderate': 45.6, 'strong': 30.8, 'enormous': 13.5}","{'female': 77.3, 'more female': 14.1, 'unisex': 7.6, 'more male': 0.5, 'male': 0.5}","{'vanilla': 15.1, 'rum': 13.0, 'sweet': 13.0, 'tropical': 9.8, 'fruity': 9.0, 'white floral': 8.7, 'powdery': 8.4, 'musky': 7.8, 'woody': 7.7, 'fresh': 7.5}","{'Rum': 0.2381, 'Passionfruit': 0.1893}","{'Gardenia': 0.1333, 'Musk': 0.119}","{'Vanille': 0.1869, 'Tonka Bean': 0.1333}","{'love': 29.1, 'like': 49.3, 'ok': 3.9, 'dislike': 17.2, 'hate': 0.5}","{'winter': 37.6, 'spring': 15.9, 'summer': 11.6, 'fall': 34.9}","{'day': 35.3, 'night': 64.7}",8.2,63.3,49.2,64.7,47.9,"A for women perfume with vanilla, rum, sweet, tropical, fruity, white floral, powdery, musky, woody, fresh accords. Features notes of Rum, Passionfruit. Good for {'winter': 86.3066, 'spring': 36.443, 'summer': 26.5139, 'fall': 80.1418, 'day': 54.6099, 'night': 100.0}."
r20,for men,"{'warm spicy': 100.0, 'cinnamon': 81.4804, 'citrus': 72.7501, 'amber': 62.4937, 'woody': 60.9885, 'leather': 58.1189, 'rose': 53.0666, 'animalic': 50.5583, 'green': 46.9584, 'patchouli': 46.0994}","{'very weak': '191', 'weak': '552', 'moderate': '3314', 'long lasting': '4464', 'eternal': '2316'}","{'intimate': '565', 'moderate': '3382', 'strong': '4521', 'enormous': '2308'}","{'female': '72', 'more female': '47', 'unisex': '990', 'more male': '2706', 'male': '3722'}","{'Blood Mandarin': 3.0, 'Grapefruit': 2.825, 'Mint': 2.5}","{'Cinnamon': 5.0, 'Spicy Notes': 3.525, 'Rose': 3.075}","{'Amber': 3.7, 'Leather': 3.4, 'Woody Notes': 2.95, 'Indian Patchouli': 2.6}","{'love': 87.7197, 'like': 100.0, 'ok': 21.1079, 'dislike': 56.7725, 'hate': 8.35968}","{'winter': 97.239, 'spring': 34.8361, 'summer': 20.2977, 'fall': 82.0751, 'day': 40.261, 'night': 100.0}","{'very weak': 1.8, 'weak': 5.1, 'moderate': 30.6, 'long lasting': 41.2, 'eternal': 21.4}","{'intimate': 5.2, 'moderate': 31.4, 'strong': 42.0, 'enormous': 21.4}","{'female': 1.0, 'more female': 0.6, 'unisex': 13.1, 'more male': 35.9, 'male': 49.4}","{'warm spicy': 15.9, 'cinnamon': 12.9, 'citrus': 11.5, 'amber': 9.9, 'woody': 9.6, 'leather': 9.2, 'rose': 8.4, 'animalic': 8.0, 'green': 7.3, 'patchouli': 7.3}","{'Blood Mandarin': 0.0921, 'Grapefruit': 0.0867, 'Mint': 0.0767}","{'Cinnamon': 0.1535, 'Spicy Notes': 0.1082, 'Rose': 0.0944}","{'Amber': 0.1136, 'Leather': 0.1044, 'Woody Notes': 0.0906, 'Indian Patchouli': 0.0798}","{'love': 32.0, 'like': 36.8, 'ok': 7.7, 'dislike': 20.6, 'hate': 2.9}","{'winter': 41.5, 'spring': 14.9, 'summer': 8.7, 'fall': 35.0}","{'day': 28.7, 'night': 71.3}",83.0,68.8,59.9,71.3,45.7,"A for men perfume with warm spicy, cinnamon, citrus, amber, woody, leather, rose, animalic, green, patchouli accords. Features notes of Blood Mandarin, Grapefruit, Mint. Good for {'winter': 97.239, 'spring': 34.8361, 'summer': 20.2977, 'fall': 82.0751, 'day': 40.261, 'night': 100.0}."
r24,for men,"{'sweet': 100.0, 'warm spicy': 98.517, 'citrus': 81.7871, 'amber': 73.1775, 'aromatic': 69.2025, 'woody': 65.6566, 'balsamic': 62.708, 'cinnamon': 60.7627, 'patchouli': 55.6688, 'lactonic': 51.6938}","{'very weak': '91', 'weak': '215', 'moderate': '931', 'long lasting': '1021', 'eternal': '233'}","{'intimate': '242', 'moderate': '1295', 'strong': '851', 'enormous': '267'}","{'female': '12', 'more female': '3', 'unisex': '202', 'more male': '366', 'male': '509'}","{'Lemon': 4.825, 'Sage': 2.55}","{'Praline': 5.0, 'Cinnamon': 3.4, 'Tolu Balsam': 2.7, 'Black Cardamom': 2.575}","{'Patchouli': 3.075, 'Brazilian Rosewood': 3.05, 'Black Amber': 2.5}","{'love': 94.9078, 'like': 100.0, 'ok': 5.73376, 'dislike': 36.3673, 'hate': 1.48356}","{'winter': 83.2035, 'spring': 49.9134, 'summer': 29.2641, 'fall': 77.013, 'day': 46.8831, 'night': 100.0}","{'very weak': 3.7, 'weak': 8.6, 'moderate': 37.4, 'long lasting': 41.0, 'eternal': 9.4}","{'intimate': 9.1, 'moderate': 48.8, 'strong': 32.1, 'enormous': 10.1}","{'female': 1.1, 'more female': 0.3, 'unisex': 18.5, 'more male': 33.5, 'male': 46.6}","{'sweet': 14.0, 'warm spicy': 13.7, 'citrus': 11.3, 'amber': 10.2, 'aromatic': 9.7, 'woody': 9.1, 'balsamic': 8.7, 'cinnamon': 8.4, 'patchouli': 7.7, 'lactonic': 7.1}","{'Lemon': 0.1626, 'Sage': 0.0859}","{'Praline': 0.1685, 'Cinnamon': 0.1146, 'Tolu Balsam': 0.091, 'Black Cardamom': 0.0868}","{'Patchouli': 0.1036, 'Brazilian Rosewood': 0.1028, 'Black Amber': 0.0842}","{'love': 39.8, 'like': 42.4, 'ok': 2.1, 'dislike': 15.3, 'hate': 0.4}","{'winter': 34.8, 'spring': 20.8, 'summer': 12.2, 'fall': 32.2}","{'day': 31.9, 'night': 68.1}",81.0,60.9,47.7,68.1,47.3,"A for men perfume with sweet, warm spicy, citrus, amber, aromatic, woody, balsamic, cinnamon, patchouli, lactonic accords. Features notes of Lemon, Sage. Good for {'winter': 83.2035, 'spring': 49.9134, 'summer': 29.2641, 'fall': 77.013, 'day': 46.8831, 'night': 100.0}."
r25,for women,"{'floral': 100.0, 'fresh': 66.2971, 'green': 63.5072, 'aquatic': 60.7355, 'fresh spicy': 60.0259, 'woody': 58.5171, 'herbal': 57.2469, 'aromatic': 51.176, 'powdery': 48.572, 'musky': 44.6943}","{'very weak': '187', 'weak': '572', 'moderate': '1262', 'long lasting': '345', 'eternal': '95'}","{'intimate': '666', 'moderate': '1341', 'strong': '413', 'enormous': '178'}","{'female': '593', 'more female': '313', 'unisex': '297', 'more male': '16', 'male': '16'}","{'Reed': 4.075, 'Mint': 3.7, 'Green Lilac': 3.425, 'Mandarin Orange': 3.05, 'Pink Pepper': 2.95}","{'Water Lily': 5.0, 'Pepper': 3.225, 'Violet': 2.9, 'White Peach': 2.85, 'Amaryllis': 2.675, 'Rose': 2.525}","{'Cedar': 3.05, 'White Musk': 2.925, 'Vanilla': 2.5}","{'love': 59.7252, 'like': 100.0, 'ok': 7.60483, 'dislike': 36.9818, 'hate': 1.3267}","{'winter': 13.8581, 'spring': 63.6364, 'summer': 97.6996, 'fall': 15.3271, 'day': 100.0, 'night': 9.67295}","{'very weak': 7.6, 'weak': 23.2, 'moderate': 51.3, 'long lasting': 14.0, 'eternal': 3.9}","{'intimate': 25.6, 'moderate': 51.6, 'strong': 15.9, 'enormous': 6.9}","{'female': 48.0, 'more female': 25.3, 'unisex': 24.0, 'more male': 1.3, 'male': 1.3}","{'floral': 16.5, 'fresh': 10.9, 'green': 10.4, 'aquatic': 9.9, 'fresh spicy': 9.9, 'woody': 9.6, 'herbal': 9.4, 'aromatic': 8.4, 'powdery': 7.9, 'musky': 7.2}","{'Reed': 0.0909, 'Mint': 0.0825, 'Green Lilac': 0.0764, 'Mandarin Orange': 0.068, 'Pink Pepper': 0.0658}","{'Water Lily': 0.1115, 'Pepper': 0.0719, 'Violet': 0.0647, 'White Peach': 0.0635, 'Amaryllis': 0.0596, 'Rose': 0.0563}","{'Cedar': 0.068, 'White Musk': 0.0652, 'Vanilla': 0.0557}","{'love': 29.1, 'like': 49.3, 'ok': 3.4, 'dislike': 17.7, 'hate': 0.5}","{'winter': 7.3, 'spring': 33.4, 'summer': 51.3, 'fall': 8.0}","{'day': 91.2, 'night': 8.8}",20.6,45.9,34.7,8.8,53.3,"A for women perfume with floral, fresh, green, aquatic, fresh spicy, woody, herbal, aromatic, powdery, musky accords. Features notes of Reed, Mint, Green Lilac, Mandarin Orange, Pink Pepper. Good for {'winter': 13.8581, 'spring': 63.6364, 'summer': 97.6996, 'fall': 15.3271, 'day': 100.0, 'night': 9.67295}."
